time,lat,lon,class,PM25_MERRA2,DUCMASS,TOTANGSTR,DUFLUXV,SSFLUXV,DUFLUXU,BCCMASS,SSSMASS25
2021-10-31 04:30:00,22.0,27.5,Unhealthy,6.9191614e-08,0.00041617412,0.26778692,-0.0021400831,1.0026037e-05,-0.0019285847,6.221452e-07,2.8024083e-10
2021-11-01 00:30:00,22.0,28.125,Unhealthy,7.4821536e-08,0.00033880555,0.2892407,-0.0014181309,5.746042e-06,-0.00080879347,4.996165e-07,2.6318506e-10
2021-11-02 20:30:00,22.0,28.125,Unhealthy for Sensitive Groups,4.6403372e-08,0.00022624999,0.2274034,-0.0013537297,-2.5341735e-05,-0.00041164167,4.134253e-07,4.7361937e-10
2021-11-03 16:30:00,22.0,28.75,Unhealthy for Sensitive Groups,3.720821e-08,0.00022997419,0.25631368,-0.001256837,-2.351022e-05,-0.00043895526,4.919933e-07,5.527455e-10
2021-11-04 12:30:00,22.0,29.375,Unhealthy for Sensitive Groups,5.151512e-08,0.00037242082,0.23539299,-0.0013384614,-3.0425377e-05,-0.00071245315,6.7593106e-07,1.1532393e-09
2021-11-05 08:30:00,22.0,30.0,Unhealthy for Sensitive Groups,5.0038746e-08,0.00026025003,0.30520913,-0.00064757455,-4.373942e-07,-0.00017403439,6.5622095e-07,9.82709e-10
2021-11-06 04:30:00,22.0,30.625,Unhealthy,1.08894085e-07,0.00023779807,0.36664265,-0.0010272276,-2.2762717e-05,-0.0003800699,6.574244e-07,1.0923032e-09
2021-11-07 00:30:00,22.0,31.25,Unhealthy,7.835177e-08,0.00026789965,0.39673856,-0.0011243494,-3.4681812e-05,-0.00014245568,7.333898e-07,1.499302e-09
2021-11-08 20:30:00,22.0,31.25,Unhealthy,5.7653466e-08,0.00017599958,0.48566735,-0.0006015798,-2.6741269e-05,-0.00096992904,6.015506e-07,1.1550583e-09
2021-11-09 16:30:00,22.0,31.875,Moderate,2.0005102e-08,9.089225e-05,0.5489468,-0.00043325726,-3.9256614e-05,-0.00013533086,4.978542e-07,1.0104486e-09
2021-11-10 12:30:00,22.0,32.5,Moderate,1.6604918e-08,0.0001069021,0.50134766,-0.0002528478,-1.7683866e-05,-7.2451076e-06,5.1453804e-07,8.7788976e-10
2021-11-11 08:30:00,22.0,33.125,Moderate,1.917606e-08,9.599992e-05,0.62456954,0.00017107138,2.0106556e-05,-0.00016711047,5.011053e-07,1.5611477e-09
2021-11-12 04:30:00,22.0,33.75,Unhealthy,5.8016173e-08,0.00018826697,0.6690879,0.0005792052,0.000112949056,-0.0006273278,6.6980397e-07,4.5511115e-09
2021-11-13 00:30:00,22.0,34.375,Unhealthy for Sensitive Groups,4.1350685e-08,0.00021056738,0.5439768,0.0006552148,7.312291e-05,0.0008291028,7.105923e-07,3.8289727e-09
2021-11-14 20:30:00,22.0,34.375,Moderate,3.1103472e-08,0.00011865375,0.46031138,-9.4719115e-05,-9.5971045e-06,-0.00020957558,4.4858626e-07,1.8944775e-09
2021-11-15 16:30:00,22.0,35.0,Moderate,2.0107748e-08,0.000113848466,0.5514693,-5.215165e-05,-4.6864297e-06,-8.1019534e-05,4.6420206e-07,1.8085302e-09
2021-11-16 12:30:00,22.0,35.625,Moderate,1.3872907e-08,7.075633e-05,0.7017165,-0.0002532897,-6.818073e-05,6.1586034e-06,4.812068e-07,2.156412e-09
2021-11-17 08:30:00,22.0,36.25,Moderate,2.5939558e-08,7.7097e-05,0.7256224,-0.00035608746,-8.4705825e-05,-5.177944e-05,5.633119e-07,3.0513547e-09
2021-11-18 04:30:00,22.0,36.875,Unhealthy for Sensitive Groups,4.0280256e-08,0.00010565921,0.47760063,-0.00061044213,-0.00047178427,0.00020128995,5.8886764e-07,1.3333192e-08
2021-11-20 00:30:00,22.0,25.0,Moderate,1.2383924e-08,6.390742e-05,0.4850183,-0.0003889936,-5.660011e-06,5.0671282e-05,3.9382937e-07,2.436311e-10
2021-11-21 20:30:00,22.0,25.0,Moderate,2.8916777e-08,0.00018303802,0.25792897,-0.00045415555,-8.452131e-06,0.0002381627,3.636256e-07,4.7702997e-10
